miRNA,hsa-miR-548a-3p,hsa-miR-548a-5p,hsa-miR-548aa,hsa-miR-548ac,hsa-miR-548ac-3p,hsa-miR-548ad-5p,hsa-miR-548ag,hsa-miR-548ah-3p,hsa-miR-548ah-5p,hsa-miR-548ai,hsa-miR-548am-5p,hsa-miR-548an,hsa-miR-548ao-3p,hsa-miR-548aq-5p,hsa-miR-548ar-5p,hsa-miR-548as-3p,hsa-miR-548at-5p,hsa-miR-548b-3p,hsa-miR-548b-5p,hsa-miR-548bb-3p,hsa-miR-548c-3p,hsa-miR-548c-5p,hsa-miR-548d-3p,hsa-miR-548d-5p,hsa-miR-548e-3p,hsa-miR-548e-5p,hsa-miR-548f-3p,hsa-miR-548f-5p,hsa-miR-548g-3p,hsa-miR-548g-5p,hsa-miR-548h,hsa-miR-548i,hsa-miR-548j-3p,hsa-miR-548j-5p,hsa-miR-548k,hsa-miR-548l,hsa-miR-548l-5p,hsa-miR-548m,hsa-miR-548n,hsa-miR-548o-3p,hsa-miR-548p,hsa-miR-548q,hsa-miR-548s,hsa-miR-548s-3p,hsa-miR-548t-3p,hsa-miR-548t-5p,hsa-miR-548v,hsa-miR-548x-5p,hsa-miR-548y,hsa-miR-548z
hsa-miR-548a-3p,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
hsa-miR-548a-5p,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,0.0,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-548aa,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
hsa-miR-548ac,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,0.0,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-548ac-3p,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hsa-miR-548ad-5p,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
hsa-miR-548ag,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,0.0,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-548ah-3p,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,0.0,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-548ah-5p,0.6666666666666666,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.6666666666666666,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5,0.0,0.5,0.5,0.3333333333333333,0.5,0.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5
hsa-miR-548ai,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.6666666666666666,0.0,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
