node,node_type,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,Cancer,Infectious diseases,Autoimmune diseases,Inflammatory diseases,number_of_categories
Cancer,disease_category,44,0.830188679245283,0.8756372373464495,0.7794117647058824,0.6504440669299876,1,0,0,0,
Infectious diseases,disease_category,13,0.24528301886792453,0.04664392211562025,0.4076923076923077,0.24197890168884015,0,1,0,0,
Inflammatory diseases,disease_category,11,0.20754716981132074,0.17616222105678275,0.39552238805970147,0.1254611632040692,0,0,0,1,
Autoimmune diseases,disease_category,5,0.09433962264150943,0.051048636897693525,0.363013698630137,0.05126620193190162,0,0,1,0,
hsa-miR-548b-3p,miRNA,3,0.05660377358490566,0.030411437836947972,0.5,0.14362055158359194,1,1,0,1,3.0
hsa-miR-548d-5p,miRNA,3,0.05660377358490566,0.030411437836947972,0.5,0.14362055158359194,1,1,0,1,3.0
hsa-miR-548e-3p,miRNA,3,0.05660377358490566,0.030411437836947972,0.5,0.14362055158359194,1,1,0,1,3.0
hsa-miR-548i,miRNA,3,0.05660377358490566,0.030411437836947972,0.5,0.14362055158359194,1,1,0,1,3.0
hsa-miR-548m,miRNA,3,0.05660377358490566,0.028938927735137048,0.4732142857142857,0.133151853890517,1,1,1,0,3.0
hsa-miR-548a-3p,miRNA,2,0.03773584905660377,0.023874448402750277,0.49074074074074076,0.1094780178259387,1,0,0,1,2.0
hsa-miR-548ah-5p,miRNA,2,0.03773584905660377,0.0017520684728061149,0.4491525423728814,0.1259183388283758,1,1,0,0,2.0
hsa-miR-548ai,miRNA,2,0.03773584905660377,0.023874448402750277,0.49074074074074076,0.1094780178259387,1,0,0,1,2.0
hsa-miR-548an,miRNA,2,0.03773584905660377,0.0017520684728061149,0.4491525423728814,0.1259183388283758,1,1,0,0,2.0
hsa-miR-548b-5p,miRNA,2,0.03773584905660377,0.0017520684728061149,0.4491525423728814,0.1259183388283758,1,1,0,0,2.0
hsa-miR-548c-5p,miRNA,2,0.03773584905660377,0.0017520684728061149,0.4491525423728814,0.1259183388283758,1,1,0,0,2.0
hsa-miR-548d-3p,miRNA,2,0.03773584905660377,0.0017520684728061149,0.4491525423728814,0.1259183388283758,1,1,0,0,2.0
hsa-miR-548e-5p,miRNA,2,0.03773584905660377,0.010510244472508623,0.30113636363636365,0.02493572781735736,0,0,1,1,2.0
hsa-miR-548f-3p,miRNA,2,0.03773584905660377,0.0017520684728061149,0.4491525423728814,0.1259183388283758,1,1,0,0,2.0
hsa-miR-548g-3p,miRNA,2,0.03773584905660377,0.0017520684728061149,0.4491525423728814,0.1259183388283758,1,1,0,0,2.0
hsa-miR-548j-5p,miRNA,2,0.03773584905660377,0.0017520684728061149,0.4491525423728814,0.1259183388283758,1,1,0,0,2.0
hsa-miR-548k,miRNA,2,0.03773584905660377,0.02100813232888705,0.4649122807017544,0.09900932013286373,1,0,1,0,2.0
hsa-miR-548o-3p,miRNA,2,0.03773584905660377,0.02100813232888705,0.4649122807017544,0.09900932013286373,1,0,1,0,2.0
hsa-miR-548a-5p,miRNA,1,0.018867924528301886,0.0,0.44166666666666665,0.09177580507072253,1,0,0,0,1.0
hsa-miR-548aa,miRNA,1,0.018867924528301886,0.0,0.2849462365591398,0.017702212755216166,0,0,0,1,1.0
