miRNA,hsa-miR-548a-3p,hsa-miR-548a-5p,hsa-miR-548aa,hsa-miR-548ac,hsa-miR-548ac-3p,hsa-miR-548ad-5p,hsa-miR-548ag,hsa-miR-548ah-3p,hsa-miR-548ah-5p,hsa-miR-548ai,hsa-miR-548am-5p,hsa-miR-548an,hsa-miR-548ao-3p,hsa-miR-548aq-5p,hsa-miR-548ar-5p,hsa-miR-548as-3p,hsa-miR-548at-5p,hsa-miR-548b-3p,hsa-miR-548b-5p,hsa-miR-548bb-3p,hsa-miR-548c-3p,hsa-miR-548c-5p,hsa-miR-548d-3p,hsa-miR-548d-5p,hsa-miR-548e-3p,hsa-miR-548e-5p,hsa-miR-548f-3p,hsa-miR-548f-5p,hsa-miR-548g-3p,hsa-miR-548g-5p,hsa-miR-548h,hsa-miR-548i,hsa-miR-548j-3p,hsa-miR-548j-5p,hsa-miR-548k,hsa-miR-548l,hsa-miR-548l-5p,hsa-miR-548m,hsa-miR-548n,hsa-miR-548o-3p,hsa-miR-548p,hsa-miR-548q,hsa-miR-548s,hsa-miR-548s-3p,hsa-miR-548t-3p,hsa-miR-548t-5p,hsa-miR-548v,hsa-miR-548x-5p,hsa-miR-548y,hsa-miR-548z
hsa-miR-548a-3p,0.0,0.6818181818181818,0.6,0.5,0.7352941176470589,0.7272727272727273,0.8181818181818182,0.18181818181818182,0.7272727272727273,0.7272727272727273,0.6818181818181818,0.7272727272727273,0.5454545454545454,0.6363636363636364,0.7272727272727273,0.3181818181818182,0.7272727272727273,0.36363636363636365,0.7272727272727273,0.2727272727272727,0.13636363636363635,0.6818181818181818,0.2727272727272727,0.6818181818181818,0.45454545454545453,0.5,0.45454545454545453,0.6818181818181818,0.6818181818181818,0.6521739130434783,0.6363636363636364,0.6363636363636364,0.45454545454545453,0.6363636363636364,0.6818181818181818,0.6818181818181818,0.6764705882352942,0.5,0.45454545454545453,0.22727272727272727,0.7727272727272727,0.7272727272727273,0.782608695652174,0.6470588235294118,0.6,0.4090909090909091,0.7272727272727273,0.6521739130434783,0.5454545454545454,0.17391304347826086
hsa-miR-548a-5p,0.6818181818181818,0.0,0.56,0.7727272727272727,0.7647058823529411,0.2727272727272727,0.3181818181818182,0.6818181818181818,0.36363636363636365,0.22727272727272727,0.13636363636363635,0.36363636363636365,0.5,0.22727272727272727,0.22727272727272727,0.7272727272727273,0.2727272727272727,0.6818181818181818,0.22727272727272727,0.6363636363636364,0.6363636363636364,0.13636363636363635,0.6818181818181818,0.18181818181818182,0.5,0.5,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.782608695652174,0.22727272727272727,0.13636363636363635,0.5909090909090909,0.2727272727272727,0.22727272727272727,0.18181818181818182,0.7647058823529411,0.45454545454545453,0.5909090909090909,0.7272727272727273,0.6818181818181818,0.8181818181818182,0.7391304347826086,0.7352941176470589,0.56,0.5909090909090909,0.6818181818181818,0.782608695652174,0.2727272727272727,0.6956521739130435
hsa-miR-548aa,0.6,0.56,0.0,0.72,0.6470588235294118,0.56,0.6,0.6,0.64,0.64,0.56,0.52,0.32,0.56,0.56,0.56,0.6,0.64,0.56,0.6,0.64,0.56,0.6,0.52,0.32,0.6,0.36,0.64,0.64,0.64,0.6,0.56,0.36,0.64,0.6,0.64,0.7352941176470589,0.64,0.64,0.64,0.76,0.88,0.72,0.6176470588235294,0.0,0.64,0.68,0.64,0.48,0.6
hsa-miR-548ac,0.5,0.7727272727272727,0.72,0.0,0.6764705882352942,0.7272727272727273,0.8181818181818182,0.45454545454545453,0.6818181818181818,0.7272727272727273,0.7272727272727273,0.6818181818181818,0.6818181818181818,0.7272727272727273,0.6818181818181818,0.5,0.7727272727272727,0.5,0.7727272727272727,0.45454545454545453,0.45454545454545453,0.7272727272727273,0.4090909090909091,0.7272727272727273,0.6818181818181818,0.5454545454545454,0.7272727272727273,0.6363636363636364,0.6818181818181818,0.6521739130434783,0.6818181818181818,0.7727272727272727,0.5454545454545454,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7647058823529411,0.6818181818181818,0.5909090909090909,0.5,0.7727272727272727,0.7727272727272727,0.8260869565217391,0.5294117647058824,0.72,0.5909090909090909,0.8636363636363636,0.6521739130434783,0.7272727272727273,0.391304347826087
hsa-miR-548ac-3p,0.7352941176470589,0.7647058823529411,0.6470588235294118,0.6764705882352942,0.0,0.7941176470588235,0.7941176470588235,0.7352941176470589,0.7647058823529411,0.7941176470588235,0.7941176470588235,0.7647058823529411,0.7352941176470589,0.7941176470588235,0.7941176470588235,0.6764705882352942,0.7941176470588235,0.7058823529411765,0.7941176470588235,0.7058823529411765,0.7352941176470589,0.7941176470588235,0.7058823529411765,0.7941176470588235,0.7352941176470589,0.6470588235294118,0.7647058823529411,0.6764705882352942,0.7058823529411765,0.7058823529411765,0.7647058823529411,0.7941176470588235,0.7647058823529411,0.7941176470588235,0.8235294117647058,0.7647058823529411,0.4411764705882353,0.7352941176470589,0.7058823529411765,0.7352941176470589,0.6176470588235294,0.7058823529411765,0.5882352941176471,0.35294117647058826,0.6470588235294118,0.7352941176470589,0.7352941176470589,0.7058823529411765,0.7647058823529411,0.7058823529411765
hsa-miR-548ad-5p,0.7272727272727273,0.2727272727272727,0.56,0.7272727272727273,0.7941176470588235,0.0,0.14285714285714285,0.7272727272727273,0.2,0.2727272727272727,0.13636363636363635,0.1,0.5909090909090909,0.22727272727272727,0.14285714285714285,0.7272727272727273,0.22727272727272727,0.7272727272727273,0.13636363636363635,0.6818181818181818,0.6818181818181818,0.13636363636363635,0.6818181818181818,0.09090909090909091,0.5909090909090909,0.5454545454545454,0.5,0.7272727272727273,0.5454545454545454,0.6956521739130435,0.18181818181818182,0.18181818181818182,0.5714285714285714,0.18181818181818182,0.22727272727272727,0.22727272727272727,0.7647058823529411,0.42857142857142855,0.5909090909090909,0.7727272727272727,0.7727272727272727,0.8181818181818182,0.6956521739130435,0.7058823529411765,0.56,0.5714285714285714,0.7272727272727273,0.6956521739130435,0.2727272727272727,0.7391304347826086
hsa-miR-548ag,0.8181818181818182,0.3181818181818182,0.6,0.8181818181818182,0.7941176470588235,0.14285714285714285,0.0,0.8181818181818182,0.3333333333333333,0.22727272727272727,0.18181818181818182,0.23809523809523808,0.5454545454545454,0.2727272727272727,0.19047619047619047,0.8181818181818182,0.2727272727272727,0.7272727272727273,0.18181818181818182,0.7727272727272727,0.7727272727272727,0.18181818181818182,0.7727272727272727,0.13636363636363635,0.6363636363636364,0.6363636363636364,0.6190476190476191,0.8181818181818182,0.6363636363636364,0.782608695652174,0.2727272727272727,0.22727272727272727,0.6190476190476191,0.2727272727272727,0.2727272727272727,0.3181818181818182,0.7941176470588235,0.5238095238095238,0.6818181818181818,0.8636363636363636,0.7727272727272727,0.7727272727272727,0.6956521739130435,0.7352941176470589,0.6,0.6666666666666666,0.6363636363636364,0.782608695652174,0.3181818181818182,0.8260869565217391
hsa-miR-548ah-3p,0.18181818181818182,0.6818181818181818,0.6,0.45454545454545453,0.7352941176470589,0.7272727272727273,0.8181818181818182,0.0,0.7272727272727273,0.7272727272727273,0.6818181818181818,0.6818181818181818,0.5909090909090909,0.6363636363636364,0.7272727272727273,0.36363636363636365,0.7727272727272727,0.22727272727272727,0.7272727272727273,0.13636363636363635,0.18181818181818182,0.6818181818181818,0.13636363636363635,0.6818181818181818,0.5909090909090909,0.4090909090909091,0.5909090909090909,0.6818181818181818,0.6363636363636364,0.6521739130434783,0.6363636363636364,0.6363636363636364,0.3181818181818182,0.6363636363636364,0.6818181818181818,0.6363636363636364,0.7058823529411765,0.5,0.45454545454545453,0.045454545454545456,0.6818181818181818,0.7727272727272727,0.8260869565217391,0.6764705882352942,0.6,0.45454545454545453,0.8181818181818182,0.6521739130434783,0.5454545454545454,0.13043478260869565
hsa-miR-548ah-5p,0.7272727272727273,0.36363636363636365,0.64,0.6818181818181818,0.7647058823529411,0.2,0.3333333333333333,0.7272727272727273,0.0,0.2727272727272727,0.22727272727272727,0.25,0.5909090909090909,0.2727272727272727,0.14285714285714285,0.7727272727272727,0.2727272727272727,0.7272727272727273,0.3181818181818182,0.6818181818181818,0.6818181818181818,0.22727272727272727,0.6818181818181818,0.2727272727272727,0.5909090909090909,0.5909090909090909,0.6,0.8181818181818182,0.5454545454545454,0.782608695652174,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.22727272727272727,0.3181818181818182,0.3181818181818182,0.8235294117647058,0.47619047619047616,0.5909090909090909,0.7727272727272727,0.8636363636363636,0.8181818181818182,0.782608695652174,0.6176470588235294,0.64,0.6190476190476191,0.7727272727272727,0.782608695652174,0.3181818181818182,0.7391304347826086
hsa-miR-548ai,0.7272727272727273,0.22727272727272727,0.64,0.7272727272727273,0.7941176470588235,0.2727272727272727,0.22727272727272727,0.7272727272727273,0.2727272727272727,0.0,0.13636363636363635,0.36363636363636365,0.5,0.18181818181818182,0.13636363636363635,0.7727272727272727,0.2727272727272727,0.6818181818181818,0.22727272727272727,0.6818181818181818,0.6818181818181818,0.13636363636363635,0.6818181818181818,0.18181818181818182,0.5909090909090909,0.5454545454545454,0.6363636363636364,0.8181818181818182,0.5454545454545454,0.782608695652174,0.22727272727272727,0.18181818181818182,0.6818181818181818,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.7647058823529411,0.5,0.6363636363636364,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7391304347826086,0.7058823529411765,0.64,0.6363636363636364,0.5909090909090909,0.782608695652174,0.22727272727272727,0.7391304347826086
