miRNA,American tegumentary leishmaniasis,Asthma,Chorioamnionitis,Chronic hepatitis B,Hepatitis C,Influenza A virus infection,Pulmonary tuberculosis,Visceral leishmaniasis
hsa-miR-548a-3p,0,0,1,0,0,0,0,0
hsa-miR-548aa,0,0,1,0,0,0,0,0
hsa-miR-548ah-5p,0,0,0,1,0,0,0,0
hsa-miR-548ai,0,0,1,0,0,0,0,0
hsa-miR-548an,0,0,0,0,0,1,0,0
hsa-miR-548at-5p,0,1,0,0,0,0,0,0
hsa-miR-548b-3p,0,0,0,0,0,0,1,0
hsa-miR-548c-5p,0,0,0,0,0,1,0,0
hsa-miR-548d-3p,1,0,0,0,0,0,0,1
hsa-miR-548i,0,1,0,0,0,0,0,0
hsa-miR-548j-5p,0,0,0,1,0,0,0,0
hsa-miR-548m,0,0,0,0,1,0,0,0
hsa-miR-548x-5p,0,0,1,0,0,0,0,0
